FundType,PooledFundId,AllocationtypeId,ChfId,ChfProjectCode,OrgId,PrjDuration,EndDate,Budget,BenM,BenW,BenB,BenG,GMId,GAMId,GlbPrjStatusId,GlobalUniqueOrgId,DisabilityMarkerId,GenderEqualityMarkerId,GBVMarkerId,GAMRefNumber,PartnerProjectRisk,PartnerRisk,DisabledM,DisabledW,DisabledB,DisabledG,AchM,AchW,AchB,AchG,BenMSplit,BenWSplit,BenBSplit,BenGSplit,BenTotSplit,AchMSplit,AchWSplit,AchBSplit,AchGSplit,AchTotSplit,DisabledAchM,DisabledAchW,DisabledAchB,DisabledAchG,GBVBudgetPlanned,GBVBudgetReached,GBVBen,GBVAch
1,23,45,17791,AFG-20/3481/RA6/N/UN/17791,143,6 Months,5/25/2021 12:00:00 AM,250014.66,0,0,1682,2056,,3,115,3151,,,,G172722595,Low,Medium,0,0,0,0,0,0,2025,2476,|||0|,|||0|,|||1682|,|||2056|,|||3738|,|||0|,|||0|,|||2025|,|||2476|,|||4501|,0,0,0,0,0,0,0,0
1,23,47,18692,AFG-21/3481/RA2/APC/UN/18692,147,"9 Months, 12 Days",3/31/2022 12:00:00 AM,470000,6860,1883,329,49,,4,115,3152,,,,G333380330,Low,Medium,138,38,7,1,9837,3060,365,155,1981||903|3948|28,763||140|980|0,42||126|161|0,14||0|35|0,2800||1169|5124|28,3500||1522|4774|41,1415||206|1434|5,55||114|196|0,34||21|100|0,5004||1863|6504|46,78,0,5,0,0,0,0,0
1,23,47,18707,AFG-21/3481/RA2/APC/UN/18707,468,6 Months,1/4/2022 0:00,350004.16,2032,1930,2356,2182,,3,115,7299,,,,G598139100,Low,Medium,223,212,259,240,0,0,0,0,2032||||,1930||||,2356||||,2182||||,8500||||,0||||,0||||,0||||,0||||,0||||,112,12,133,107,35000,17500,1020,744
1,23,47,18714,AFG-21/3481/RA2/ESNFI/UN/18714,142,6 Months,12/14/2021 12:00:00 AM,995775,3795,3534,3011,2750,,3,115,3150,,,,G691648590,Low,High,418,389,331,302,3795,3534,3011,2750,3036||759||,2827||707||,2409||602||,2200||550||,10472||2618||,3036||759||,2827||707||,2409||602||,2200||550||,10472||2618||,77,284,200,166,0,0,0,0
1,23,47,18715,AFG-21/3481/RA2/APC/UN/18715,142,6 Months,12/19/2021 12:00:00 AM,339607.33,3150,3205,6274,6028,,4,115,3150,,,,G637620264,Low,High,273,280,373,375,3150,3205,6274,6028,1293||822|1035|,1312||900|993|,2610||1762|1902|,2464||1674|1890|,7679||5158|5820|,1293||822|1035|,1312||900|993|,2610||1762|1902|,2464||1674|1890|,7679||5158|5820|,225,186,198,255,0,0,0,0
1,23,47,18734,AFG-21/3481/RA2/APC/UN/18734,138,9 Months,3/31/2022 12:00:00 AM,900000.38,133343,128113,33336,32028,,4,115,3149,,,,G222909725,Medium,Medium,13334,12812,3334,3202,18965,79018,13667,19755,133343||||,128113||||,33336||||,32028||||,326820||||,18965||||,79018||||,13667||||,19755||||,131405||||,4928,2578,1312,36,0,0,0,0
1,23,48,20003,AFG-21/3481/RA3/H/UN/20003,138,9 Months,6/30/2022 12:00:00 AM,424969.76,2300,28000,1400,2800,,4,115,3149,,,,G737253476,Medium,Medium,75,900,30,65,2200,29300,1475,3050,2300||||,28000||||,1400||||,2800||||,34500||||,2200||||,29300||||,1475||||,3050||||,36025||||,57,21,16,16,0,0,0,0
1,23,48,20025,AFG-21/3481/RA3/N/UN/20025,151,12 Months,9/30/2022 12:00:00 AM,219473.02,0,0,1862,1789,,3,115,3155,,,,G521611453,Low,Medium,0,0,126,118,0,0,3579,3461,0|||0|,0|||0|,186|||1676|,179|||1610|,365|||3286|,0|||0|,0|||0|,175|||3404|,190|||3271|,365|||6675|,0,0,108,78,0,0,0,0
1,23,48,20034,AFG-21/3481/RA3/FSAC/UN/20034,150,6 Months,4/6/2022 0:00,935000,6856,7005,8346,7600,,4,115,3154,,,,G496216842,Low,Medium,1352,1382,1647,1500,7237,7394,8347,8487,|||6856|,|||7005|,|||8346|,|||7600|,|||29807|,|||7237|,|||7394|,|||8347|,|||8487|,|||31465|,642,690,1532,1141,0,0,0,0
1,23,48,20048,AFG-21/3481/RA3/N/UN/20048,150,11 Months 28 Days,9/28/2022 12:00:00 AM,620000.01,0,4899,5193,4990,,3,115,3154,,,,G732597986,Low,Medium,0,146,156,150,0,26643,20980,20158,0|||0|,839|||4060|,857|||4336|,824|||4166|,2520|||12562|,0|||0|,5329|||21314|,4196|||16784|,4032|||16126|,13557|||54224|,0,87,74,101,0,0,0,0
